level,id,prompt,answer,answer2,answered
1,0,list files in the current directory,ls,,0
1,1,change directory it to 'temp' directory,cd temp,,0
1,2,change directory up one directory,cd ..,,0
1,3,change directory to home directory for current user,cd ~,cd,0
1,4,change directory back to previous directory,cd -,,0
1,5,make a directory called 'temp',mkdir temp,mkdir temp,0
2,0,display contents of file 'test 1' to standard output,cat test1,,0
2,1,"display contents of file 'test 1' including endlines, tabs, and non printing characters to standard output",cat -A test1,cat -vET test1,0
2,2,display contents of files 'test1' and 'test2' to standard out,cat test1 test2,,0
2,3,display contents of 'test1' to standard out with line numbering,cat -n test1,,0
2,4,write contents of file 'test1' into file 'test2',cat test1 > test2,,0
2,5,write standard in to a file 'test2',cat > test2,,0
3,0,copy file 'test1' to a new file called 'test2',cp test1 test2,,0
3,1,copy contents of directory 'dir1' to new directory 'dir2',cp -r dir1 dir2,cp -R dir1 dir2,0
3,2,copy all files inside 'dir1' into existing directory 'dir2',cp dir1/* dir2,,0
3,3,copy file 'test1' over existing file 'test2' only if test1 is newer than test2,cp -u test1 test2,,0
3,4,copy files 'test1' to 'test2' while displaying all lines copied,cp -v test1 test2,,0
4,0,move file named 'test1' to a new file named 'test3' (ie rename file),mv test1 test3,,0
4,1,"move file named 'test1' to a  file named 'test3' (ie rename file), but do not overwrite if 'test3' exists",mv -n test1 test3,,0
4,2,move file named 'test1' to file named 'test4' while outputting verbosely,mv -v test1 test4,,0
4,3,move directory 'dir1' to a new directory named 'dir3',mv dir1 dir3,,0
4,4,move file named 'test1' to file named 'test2' but only if test1 is newer than test2,mv -u test1 test2,,0
5,0,create a file called 'test' in the current working directory,touch test,,0
5,1,Create 26 new files in the current working directory named alphabetically A through Z ,touch {A..Z},,0
5,2,Update the access and modification time of file 'test1' to current time,touch test1,,0
5,3,Update access and modification time of all files and folders in the current working directory,touch *,,0
6,0,Delete (unlink name from filesystem) a file called 'test1' in the current working directory,rm test1,,0
6,1,Delete (unlink name from file system) a directory called 'dir1' in the current working directory,rm -r dir1,,0
6,2,Overwrite file named 'test1' in current working directory so it cannot be recovered,shred test1,,0
6,3,Delete (unlink name from file system) a file called 'test1' while printing actions to stdout,rm -v,,0
6,4,Delete (unlink name from file system) a file called 'test1' with prompting before deletion,rm -i test1,,0
6,5,"Delete (unlink name from file system) a directory called 'dir1' in the current working directory, do not ask before deleting write protected files",rm -rf dir1,,0
7,0,change attributes of file 'test1' to add write protection (made need superuser permissions),chattr +i test1,,0
7,1,List file attributes of the file 'test1',lsattr test1,,0
7,2,List attributes of contents of current working directory,lsattr,,0
7,3,change attributes of file 'test1' to add append only protection (made need superuser permissions),chattr +a test1,,0
7,4,change attributes of file 'test1' to remove append only protection (made need superuser permissions),chattr -a test1,,0
7,5,change attributes of the directory 'dir1' to make write protected (made need superuser permissions),chattr +i dir1,,0
7,6,change attributes of the directory 'dir1' to remove write protection (made need superuser permissions),chattr -i dir1,,0
8,0,output name of current user,whoami,logname,0
8,1,output name and group information of current user,id,,0
8,2,output name of current users logged in to the system,w,,0
8,3,output current time and how long the system has been running,uptime,,0
8,4,display message 'hello' to all users currently logged in to the system,wall hello,,0
